,id,factor_id,property_name,property_value,unit,description,data_entry_by,formula
99,1818434078035419147,1818434077984952320,TOTAL (g),73.4,g,,吴宇森,
100,1818434387990290432,1818434387944017920,Water_base,0.947,kg,,吴宇森,
101,1818434387990290433,1818434387944017920,Additives,0.0525,kg,,吴宇森,
102,1818434387990290434,1818434387944017920,Wood,0.0473,kg,,吴宇森,
103,1818434387990290435,1818434387944017920,Plastic,0.057,kg,,吴宇森,
104,1818434387990290436,1818434387944017920,Labels,9.96e-05,kg,,吴宇森,
105,1818435804897484800,1818435804855406592,Additives,0.31,,,吴宇森,
106,1818435804897484801,1818435804855406592,Extenders,18.39,,,吴宇森,
107,1818435804897484802,1818435804855406592,Solvents,59.23,,,吴宇森,
108,1818435804897484803,1818435804855406592,Resins,22.07,,,吴宇森,
109,1818435804897484804,1818435804855406592,Weight,100.0,,,吴宇森,
110,1818435976369020928,1818435976322748416,Aluminium,11.2,g,,吴宇森,
111,1818435976369020929,1818435976322748416,Stainless steel,200.2,g,,吴宇森,
112,1818435976369020930,1818435976322748416,Steel,270.0,g,,吴宇森,
113,1818435976369020931,1818435976322748416,Polyamide,0.9,g,,吴宇森,
114,1818435976369020932,1818435976322748416,Polyoxymethylene,2.2,g,,吴宇森,
115,1818435976369020933,1818435976322748416,Other metalalloys,10.2,g,,吴宇森,
116,1818435976369020934,1818435976322748416,Zinc alloy,219.4,g,,吴宇森,
117,1818435976369020935,1818435976322748416,Total weight(g),714.1,g,,吴宇森,
118,1818435976369020936,1818435976322748416,Wood,16.7,g,,吴宇森,
119,1818435976369020937,1818435976322748416,Cardboard,54.9,g,,吴宇森,
120,1818435976369020938,1818435976322748416,Plastic,1.3,g,,吴宇森,
121,1818435976369020939,1818435976322748416,TOTAL (g),72.9,g,,吴宇森,
122,1818437599308816384,1818437599275126784,Additives,6.0,,,吴宇森,
123,1818437599308816385,1818437599275126784,Solvents,30.0,,,吴宇森,
124,1818437599308816386,1818437599275126784,Resins,64.0,,,吴宇森,
125,1818437599308816387,1818437599275126784,Weight,100.0,,,吴宇森,
126,1818438632193925120,1818438632147652608,PPS,0.0503,kg,,吴宇森,
127,1818438632193925121,1818438632147652608,"PA6,6 reinforced with glass-fiber",0.0487,kg,,吴宇森,
128,1818438632193925122,1818438632147652608,EPDM,0.001,kg,,吴宇森,
129,1818438632193925123,1818438632147652608,Weight,1.0,kg,,吴宇森,
130,1818438632193925124,1818438632147652608,LDPE,0.0127,kg,,吴宇森,
131,1818438632193925125,1818438632147652608,Corrugated board,0.0885,kg,,吴宇森,
132,1818439048642174976,1818439048566542336,PPS_Weight,0.404,kg,,吴宇森,
133,1818439048642174977,1818439048566542336,Brass_Weight,0.486,kg,,吴宇森,
134,1818439048642174978,1818439048566542336,PA6_6_reinforced_with_glass_fiber_Weight,0.107,kg,,吴宇森,
135,1818439048642174979,1818439048566542336,EPDM_Weight,0.003,kg,,吴宇森,
136,1818439048642174980,1818439048566542336,TOTAL_Product_Weight,1.0,kg,,吴宇森,
137,1818439048642174981,1818439048566542336,LDPE_Weight,0.0075,kg,,吴宇森,
138,1818439048642174982,1818439048566542336,Corrugated_board_Weight,0.0418,kg,,吴宇森,
139,1818439048642174983,1818439048566542336,TOTAL_Packaging_Materials_Weight,0.0494,kg,,吴宇森,
140,1818439048642174984,1818439048566542336,Biogenic_carbon_weight_%_versus_product,4.9,,,吴宇森,
141,1818439048642174985,1818439048566542336,Biogenic_carbon_weight_kg,0.0189,kg,,吴宇森,
142,1818440517676179456,1818440517617324032,Steel_wire_Weight,1.0,kg,,吴宇森,
143,1818441105214283776,1818441105105096704,Steel,8390.0,kg,,吴宇森,
144,1818441105214283777,1818441105105096704,isocyanates,2480.0,kg,,吴宇森,
145,1818441105214283778,1818441105105096704,Chemical components,1622.0,kg,,吴宇森,
146,1818441105214283779,1818441105105096704,Others non chemical,0.014,kg,,吴宇森,
147,1818441105214283780,1818441105105096704,Weight,12.51,kg,,吴宇森,
148,1818441105214283781,1818441105105096704,PE,0.057,kg,,吴宇森,
149,1818441105214283782,1818441105105096704,EPS,0.058,kg,,吴宇森,
150,1818441105214283783,1818441105105096704,madera,0.015,kg,,吴宇森,
151,1818441105214283784,1818441105105096704,TOTAL Packaging,0.131,kg,,吴宇森,
152,1818846141169803264,1818846141081587712,RE-PET,83.33,,,吴宇森,
153,1818846141169803265,1818846141081587712,Co-polyester B,8.24,,,吴宇森,
154,1818846141169803266,1818846141081587712,Cp-polyester A,4.48,,,吴宇森,
155,1818846141169803267,1818846141081587712,Others,3.95,,,吴宇森,
156,1818846141169803268,1818846141081587712,Weight,100.0,,,吴宇森,
157,1819108565181538304,1819108565084934144,Weight,0.105,kg/m,,吴宇森,
158,1819108565181538305,1819108565084934144,Cardboard,0.015,kg,,吴宇森,
159,1819108565181538306,1819108565084934144,Plastic film,0.003,kg,,吴宇森,
160,1819108565181538307,1819108565084934144,Wooden pallet,0.04,kg,,吴宇森,
161,1819108565181538308,1819108565084934144,Weight,0.059,kg,,吴宇森,
162,1819109424875446272,1819109424783036416,ReviWool®,0.348,kg,,吴宇森,
163,1819109424875446273,1819109424783036416,Polyamide,0.087,kg,,吴宇森,
164,1819109424875446274,1819109424783036416,Weight,0.435,kg,,吴宇森,
165,1819109542504701952,1819109542378737664,Cardboard,0.015,kg,,吴宇森,
166,1819109542504701953,1819109542378737664,Plastic_film,0.003,kg,,吴宇森,
167,1819109542504701954,1819109542378737664,Wooden_pallet,0.04,kg,,吴宇森,
168,1819109542504701955,1819109542378737664,Weight,0.059,kg/kg,,吴宇森,
169,1819109856771317760,1819109856678907904,Wool®,0.449,kg,,吴宇森,
170,1819109856771317761,1819109856678907904,Polyamide,0.192,kg,,吴宇森,
171,1819109856771317762,1819109856678907904,Weight,0.641,kg,,吴宇森,
172,1819110020022018048,1819110019925413888,Cardboard,0.015,kg,,吴宇森,
173,1819110020022018049,1819110019925413888,Plastic_film,0.003,kg,,吴宇森,
174,1819110020022018050,1819110019925413888,Wooden_pallet,0.04,kg,,吴宇森,
175,1819110020022018051,1819110019925413888,TOTAL_Packaging_Materials,0.059,kg/kg,,吴宇森,
176,1819110020022018052,1819110019925413888,TOTAL_weight_per_m2,0.155,kg/m,,吴宇森,
177,1819154434488541184,1819154434329022464,Steel,3.7,kg,,吴宇森,
178,1819154434488541185,1819154434329022464,Electronics_and_cables,0.72,kg,,吴宇森,
179,1819154434488541186,1819154434329022464,Zinc,0.0,kg,,吴宇森,
180,1819154434488541187,1819154434329022464,Polypropylene,0.31,kg,,吴宇森,
181,1819154434488541188,1819154434329022464,Glass,0.0,kg,,吴宇森,
182,1819154434488541189,1819154434329022464,Aluminium,0.31,kg,,吴宇森,
183,1819154434488541190,1819154434329022464,Epoxy,0.1,kg,,吴宇森,
184,1819154434488541191,1819154434329022464,Polyamide,0.01,kg,,吴宇森,
185,1819154434488541192,1819154434329022464,Polycarbonate,0.02,kg,,吴宇森,
186,1819154434488541193,1819154434329022464,Weight,5.16,kg,,吴宇森,
187,1819154434488541194,1819154434329022464,Wood,0.92,kg,,吴宇森,
188,1819154434488541195,1819154434329022464,Corrugated_cardboard,0.38,kg,,吴宇森,
189,1819154434488541196,1819154434329022464,Extruded_polystyren,0.15,kg,,吴宇森,
190,1819154434488541197,1819154434329022464,Polypropylene,0.01,kg,,吴宇森,
191,1819156514850742272,1819156514645086208,Steel,43.2,kg,,吴宇森,
