,id,factor_id,uuid,value,ghg_type,boundary,formula,description
73,1818424887044345863,1818424887006597120,4b3d7150-e147-41d8-b873-b8ef383993d3,0.8220000000000001,Total,C1-C4,,
74,1818424887044345864,1818424887006597120,4b3d7150-e147-41d8-b873-b8ef383993d3,-0.899,CO2,D,,
75,1818424887044345865,1818424887006597120,4b3d7150-e147-41d8-b873-b8ef383993d3,-0.899,Total,D,,
76,1818425348359065600,1818425348338094080,a3340f82-f8e0-4b95-a9b2-ef9ebc79d598,1640.0,CO2,A1-A3,,
77,1818425348359065601,1818425348338094080,a3340f82-f8e0-4b95-a9b2-ef9ebc79d598,1640.0,Total,A1-A3,,
78,1818425348359065602,1818425348338094080,a3340f82-f8e0-4b95-a9b2-ef9ebc79d598,422.0,CO2,A4-A5,,
79,1818425348359065603,1818425348338094080,a3340f82-f8e0-4b95-a9b2-ef9ebc79d598,422.0,Total,A4-A5,,
80,1818425348359065604,1818425348338094080,a3340f82-f8e0-4b95-a9b2-ef9ebc79d598,6.47,CO2,B1-B7,,
81,1818425348359065605,1818425348338094080,a3340f82-f8e0-4b95-a9b2-ef9ebc79d598,6.47,Total,B1-B7,,
82,1818425348359065606,1818425348338094080,a3340f82-f8e0-4b95-a9b2-ef9ebc79d598,138.2,CO2,C1-C4,,
83,1818425348359065607,1818425348338094080,a3340f82-f8e0-4b95-a9b2-ef9ebc79d598,138.2,Total,C1-C4,,
84,1818425348359065608,1818425348338094080,a3340f82-f8e0-4b95-a9b2-ef9ebc79d598,-42.2,CO2,D,,
85,1818425348359065609,1818425348338094080,a3340f82-f8e0-4b95-a9b2-ef9ebc79d598,-42.2,Total,D,,
86,1818425837607849984,1818425837586878464,9f7c830d-84c3-4654-89c7-9f4d223089fe,5.95,CO2,A1-A3,,
87,1818425837607849985,1818425837586878464,9f7c830d-84c3-4654-89c7-9f4d223089fe,5.95,Total,A1-A3,,
88,1818425837607849986,1818425837586878464,9f7c830d-84c3-4654-89c7-9f4d223089fe,1.872,CO2,A4-A5,,
89,1818425837607849987,1818425837586878464,9f7c830d-84c3-4654-89c7-9f4d223089fe,1.872,Total,A4-A5,,
90,1818425837607849988,1818425837586878464,9f7c830d-84c3-4654-89c7-9f4d223089fe,0.0947,CO2,B1-B7,,
91,1818425837607849989,1818425837586878464,9f7c830d-84c3-4654-89c7-9f4d223089fe,0.0947,Total,B1-B7,,
92,1818425979450822656,1818425979434045440,76fc0cfd-1ac7-456e-8c51-457a39da93fc,5.67,CO2,A1-A3,,
93,1818425979450822657,1818425979434045440,76fc0cfd-1ac7-456e-8c51-457a39da93fc,5.67,Total,A1-A3,,
94,1818425979450822658,1818425979434045440,76fc0cfd-1ac7-456e-8c51-457a39da93fc,1.6960000000000002,CO2,A4-A5,,
95,1818425979450822659,1818425979434045440,76fc0cfd-1ac7-456e-8c51-457a39da93fc,1.6960000000000002,Total,A4-A5,,
96,1818425979450822660,1818425979434045440,76fc0cfd-1ac7-456e-8c51-457a39da93fc,0.00807,CO2,B1-B7,,
97,1818425979450822661,1818425979434045440,76fc0cfd-1ac7-456e-8c51-457a39da93fc,0.00807,Total,B1-B7,,
98,1818426226382082048,1818426226361110528,fed25541-7bfd-45a2-838d-216d94fc108a,2.67,CO2,A1-A3,,
99,1818426226382082049,1818426226361110528,fed25541-7bfd-45a2-838d-216d94fc108a,2.67,Total,A1-A3,,
100,1818426226382082050,1818426226361110528,fed25541-7bfd-45a2-838d-216d94fc108a,2.146,CO2,A4-A5,,
101,1818426226382082051,1818426226361110528,fed25541-7bfd-45a2-838d-216d94fc108a,2.146,Total,A4-A5,,
102,1818426226382082052,1818426226361110528,fed25541-7bfd-45a2-838d-216d94fc108a,4.985200000000001,CO2,C1-C4,,
103,1818426226382082053,1818426226361110528,fed25541-7bfd-45a2-838d-216d94fc108a,4.985200000000001,Total,C1-C4,,
104,1818426226382082054,1818426226361110528,fed25541-7bfd-45a2-838d-216d94fc108a,-2.22,CO2,D,,
105,1818426226382082055,1818426226361110528,fed25541-7bfd-45a2-838d-216d94fc108a,-2.22,Total,D,,
106,1818426521396842496,1818426521367482368,691bf600-f010-466e-aa43-5dc328954ff2,4.44,CO2,A1-A3,,
107,1818426521396842497,1818426521367482368,691bf600-f010-466e-aa43-5dc328954ff2,4.44,Total,A1-A3,,
108,1818426521396842498,1818426521367482368,691bf600-f010-466e-aa43-5dc328954ff2,1.945,CO2,A4-A5,,
109,1818426521396842499,1818426521367482368,691bf600-f010-466e-aa43-5dc328954ff2,1.945,Total,A4-A5,,
110,1818426521396842500,1818426521367482368,691bf600-f010-466e-aa43-5dc328954ff2,0.00807,CO2,B1-B7,,
111,1818426521396842501,1818426521367482368,691bf600-f010-466e-aa43-5dc328954ff2,0.00807,Total,B1-B7,,
112,1818426594348371968,1818426594319011840,c591cb19-eb6c-45e5-bff2-03902302552b,1.01,CO2,A1-A3,,
113,1818426594348371969,1818426594319011840,c591cb19-eb6c-45e5-bff2-03902302552b,1.01,Total,A1-A3,,
114,1818426594348371970,1818426594319011840,c591cb19-eb6c-45e5-bff2-03902302552b,0.00146,CO2,A4-A5,,
115,1818426594348371971,1818426594319011840,c591cb19-eb6c-45e5-bff2-03902302552b,0.00146,Total,A4-A5,,
116,1818427513240686592,1818427513223909376,21dccd72-5f4d-400f-bde3-7ec0b9aa7be2,242.0,CO2,A1-A3,,
117,1818427513240686593,1818427513223909376,21dccd72-5f4d-400f-bde3-7ec0b9aa7be2,242.0,Total,A1-A3,,
118,1818427513240686594,1818427513223909376,21dccd72-5f4d-400f-bde3-7ec0b9aa7be2,14.36,CO2,A4-A5,,
119,1818427513240686595,1818427513223909376,21dccd72-5f4d-400f-bde3-7ec0b9aa7be2,14.36,Total,A4-A5,,
120,1818427513240686596,1818427513223909376,21dccd72-5f4d-400f-bde3-7ec0b9aa7be2,-8.77,CO2,B1-B7,,
121,1818427513240686597,1818427513223909376,21dccd72-5f4d-400f-bde3-7ec0b9aa7be2,-8.77,Total,B1-B7,,
122,1818427513240686598,1818427513223909376,21dccd72-5f4d-400f-bde3-7ec0b9aa7be2,17.480000000000004,CO2,C1-C4,,
123,1818427513240686599,1818427513223909376,21dccd72-5f4d-400f-bde3-7ec0b9aa7be2,17.480000000000004,Total,C1-C4,,
124,1818427513240686600,1818427513223909376,21dccd72-5f4d-400f-bde3-7ec0b9aa7be2,-8.97,CO2,D,,
125,1818427513240686601,1818427513223909376,21dccd72-5f4d-400f-bde3-7ec0b9aa7be2,-8.97,Total,D,,
126,1818427728391704576,1818427728370733056,cb9f90ab-3060-4879-a0d3-1b39e7d505ca,33.241,CO2,C1-C4,,
127,1818427728391704577,1818427728370733056,cb9f90ab-3060-4879-a0d3-1b39e7d505ca,33.241,Total,C1-C4,,
128,1818427728391704578,1818427728370733056,cb9f90ab-3060-4879-a0d3-1b39e7d505ca,-12.7,CO2,D,,
129,1818427728391704579,1818427728370733056,cb9f90ab-3060-4879-a0d3-1b39e7d505ca,-12.7,Total,D,,
130,1818427842124451840,1818427842103480320,a2ad17dd-9bf4-473d-9a82-485638c2e99a,191.0,CO2,A1-A3,,
131,1818427842124451841,1818427842103480320,a2ad17dd-9bf4-473d-9a82-485638c2e99a,191.0,Total,A1-A3,,
132,1818427842124451842,1818427842103480320,a2ad17dd-9bf4-473d-9a82-485638c2e99a,13.59,CO2,A4-A5,,
133,1818427842124451843,1818427842103480320,a2ad17dd-9bf4-473d-9a82-485638c2e99a,13.59,Total,A4-A5,,
134,1818427842124451844,1818427842103480320,a2ad17dd-9bf4-473d-9a82-485638c2e99a,-6.75,CO2,B1-B7,,
135,1818427842124451845,1818427842103480320,a2ad17dd-9bf4-473d-9a82-485638c2e99a,-6.75,Total,B1-B7,,
136,1818427842124451846,1818427842103480320,a2ad17dd-9bf4-473d-9a82-485638c2e99a,20.23,CO2,C1-C4,,
137,1818427842124451847,1818427842103480320,a2ad17dd-9bf4-473d-9a82-485638c2e99a,20.23,Total,C1-C4,,
138,1818427842124451848,1818427842103480320,a2ad17dd-9bf4-473d-9a82-485638c2e99a,-9.1,CO2,D,,
139,1818427842124451849,1818427842103480320,a2ad17dd-9bf4-473d-9a82-485638c2e99a,-9.1,Total,D,,
140,1818428018524295168,1818428018494935040,8a6f13ea-f4cd-4805-b1b3-564e6fee43bb,6.71,CO2,A1-A3,,
141,1818428018524295169,1818428018494935040,8a6f13ea-f4cd-4805-b1b3-564e6fee43bb,6.71,Total,A1-A3,,
