id,factor_id,uuid,value,ghg_type,boundary,formula,description
1818422100373934085,1818422100348768256,16d2ddd3-38be-45c4-8256-d5ada9d42bc9,0.0919,Total,B1-B7,,
1818422131608915968,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,CO2,A1-A3,,
1818422131608915969,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,Total,A1-A3,,
1818422131608915970,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,CO2,A4-A5,,
1818422131608915971,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,Total,A4-A5,,
1818422131608915972,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,CO2,B1-B7,,
1818422131608915973,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,Total,B1-B7,,
1818422131608915974,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,CO2,C1-C4,,
1818422131608915975,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,Total,C1-C4,,
1818422131608915976,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,CO2,D,,
1818422131608915977,1818422131592138752,89589a9d-aab0-4bc2-be14-ed7beb95d79f,,Total,D,,
1818422272063574016,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,CO2,A1-A3,,
1818422272063574017,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,Total,A1-A3,,
1818422272063574018,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,CO2,A4-A5,,
1818422272063574019,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,Total,A4-A5,,
1818422272063574020,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,CO2,B1-B7,,
1818422272063574021,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,Total,B1-B7,,
1818422272063574022,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,CO2,C1-C4,,
1818422272063574023,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,Total,C1-C4,,
1818422272063574024,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,CO2,D,,
1818422272063574025,1818422272021630976,91fb63e3-9bca-4352-9c1e-bbaead92173f,,Total,D,,
1818422298600935424,1818422298588352512,71bd4121-3a27-4451-af03-a7198ca24033,,CO2,A1-A3,,
1818422298600935425,1818422298588352512,71bd4121-3a27-4451-af03-a7198ca24033,,Total,A1-A3,,
1818422298600935426,1818422298588352512,71bd4121-3a27-4451-af03-a7198ca24033,,CO2,A4-A5,,
1818422298600935427,1818422298588352512,71bd4121-3a27-4451-af03-a7198ca24033,,Total,A4-A5,,
1818422298600935428,1818422298588352512,71bd4121-3a27-4451-af03-a7198ca24033,,CO2,B1-B7,,
1818422298600935429,1818422298588352512,71bd4121-3a27-4451-af03-a7198ca24033,,Total,B1-B7,,
1818422298600935430,1818422298588352512,71bd4121-3a27-4451-af03-a7198ca24033,,CO2,C1-C4,,
1818422298600935431,1818422298588352512,71bd4121-3a27-4451-af03-a7198ca24033,,Total,C1-C4,,
1818422298600935432,1818422298588352512,71bd4121-3a27-4451-af03-a7198ca24033,,CO2,D,,
1818422298600935433,1818422298588352512,71bd4121-3a27-4451-af03-a7198ca24033,,Total,D,,
1818422370067681280,1818422370055098368,28cdd3cf-0f96-4c16-9a16-e8f3228e7206,,CO2,A1-A3,,
1818422370067681281,1818422370055098368,28cdd3cf-0f96-4c16-9a16-e8f3228e7206,,Total,A1-A3,,
1818422370067681282,1818422370055098368,28cdd3cf-0f96-4c16-9a16-e8f3228e7206,,CO2,A4-A5,,
1818422370067681283,1818422370055098368,28cdd3cf-0f96-4c16-9a16-e8f3228e7206,,Total,A4-A5,,
1818422370067681284,1818422370055098368,28cdd3cf-0f96-4c16-9a16-e8f3228e7206,,CO2,B1-B7,,
1818422370067681285,1818422370055098368,28cdd3cf-0f96-4c16-9a16-e8f3228e7206,,Total,B1-B7,,
1818422370067681286,1818422370055098368,28cdd3cf-0f96-4c16-9a16-e8f3228e7206,,CO2,C1-C4,,
1818422370067681287,1818422370055098368,28cdd3cf-0f96-4c16-9a16-e8f3228e7206,,Total,C1-C4,,
1818422370067681288,1818422370055098368,28cdd3cf-0f96-4c16-9a16-e8f3228e7206,,CO2,D,,
1818422370067681289,1818422370055098368,28cdd3cf-0f96-4c16-9a16-e8f3228e7206,,Total,D,,
1818422400233115648,1818422400216338432,fffb1d45-a708-44dc-a610-4f7870bce8cf,149.0,CO2,A1-A3,,
1818422400233115649,1818422400216338432,fffb1d45-a708-44dc-a610-4f7870bce8cf,149.0,Total,A1-A3,,
1818422400233115650,1818422400216338432,fffb1d45-a708-44dc-a610-4f7870bce8cf,,CO2,A4-A5,,
1818422400233115651,1818422400216338432,fffb1d45-a708-44dc-a610-4f7870bce8cf,,Total,A4-A5,,
1818422400233115652,1818422400216338432,fffb1d45-a708-44dc-a610-4f7870bce8cf,,CO2,B1-B7,,
1818422400233115653,1818422400216338432,fffb1d45-a708-44dc-a610-4f7870bce8cf,,Total,B1-B7,,
1818422400233115654,1818422400216338432,fffb1d45-a708-44dc-a610-4f7870bce8cf,,CO2,C1-C4,,
1818422400233115655,1818422400216338432,fffb1d45-a708-44dc-a610-4f7870bce8cf,,Total,C1-C4,,
1818422400233115656,1818422400216338432,fffb1d45-a708-44dc-a610-4f7870bce8cf,,CO2,D,,
1818422400233115657,1818422400216338432,fffb1d45-a708-44dc-a610-4f7870bce8cf,,Total,D,,
1818422462015213568,1818422462002630656,548322fb-e4f8-47ae-9ef4-1de1922a8be5,,CO2,A1-A3,,
1818422462015213569,1818422462002630656,548322fb-e4f8-47ae-9ef4-1de1922a8be5,,Total,A1-A3,,
1818422462015213570,1818422462002630656,548322fb-e4f8-47ae-9ef4-1de1922a8be5,,CO2,A4-A5,,
1818422462015213571,1818422462002630656,548322fb-e4f8-47ae-9ef4-1de1922a8be5,,Total,A4-A5,,
1818422462015213572,1818422462002630656,548322fb-e4f8-47ae-9ef4-1de1922a8be5,,CO2,B1-B7,,
1818422462015213573,1818422462002630656,548322fb-e4f8-47ae-9ef4-1de1922a8be5,,Total,B1-B7,,
1818422462015213574,1818422462002630656,548322fb-e4f8-47ae-9ef4-1de1922a8be5,,CO2,C1-C4,,
1818422462015213575,1818422462002630656,548322fb-e4f8-47ae-9ef4-1de1922a8be5,,Total,C1-C4,,
1818422462015213576,1818422462002630656,548322fb-e4f8-47ae-9ef4-1de1922a8be5,,CO2,D,,
1818422462015213577,1818422462002630656,548322fb-e4f8-47ae-9ef4-1de1922a8be5,,Total,D,,
1818422650712756224,1818422650695979008,ea0fc40b-6b12-47dd-8bda-306daf32c39b,6.23,CO2,A1-A3,,
1818422650712756225,1818422650695979008,ea0fc40b-6b12-47dd-8bda-306daf32c39b,6.23,Total,A1-A3,,
1818422650712756226,1818422650695979008,ea0fc40b-6b12-47dd-8bda-306daf32c39b,2.33,CO2,A4-A5,,
1818422650712756227,1818422650695979008,ea0fc40b-6b12-47dd-8bda-306daf32c39b,2.33,Total,A4-A5,,
1818422650712756228,1818422650695979008,ea0fc40b-6b12-47dd-8bda-306daf32c39b,0.0919,CO2,B1-B7,,
1818422650712756229,1818422650695979008,ea0fc40b-6b12-47dd-8bda-306daf32c39b,0.0919,Total,B1-B7,,
1818422677547913216,1818422677535330304,bfa1a081-6b01-4505-9220-1640ee938671,269.0,CO2,A1-A3,,
1818422677547913217,1818422677535330304,bfa1a081-6b01-4505-9220-1640ee938671,269.0,Total,A1-A3,,
1818422677547913218,1818422677535330304,bfa1a081-6b01-4505-9220-1640ee938671,,CO2,A4-A5,,
1818422677547913219,1818422677535330304,bfa1a081-6b01-4505-9220-1640ee938671,,Total,A4-A5,,
1818422677547913220,1818422677535330304,bfa1a081-6b01-4505-9220-1640ee938671,,CO2,B1-B7,,
1818422677547913221,1818422677535330304,bfa1a081-6b01-4505-9220-1640ee938671,,Total,B1-B7,,
1818422677547913222,1818422677535330304,bfa1a081-6b01-4505-9220-1640ee938671,,CO2,C1-C4,,
1818422677547913223,1818422677535330304,bfa1a081-6b01-4505-9220-1640ee938671,,Total,C1-C4,,
1818422677547913224,1818422677535330304,bfa1a081-6b01-4505-9220-1640ee938671,,CO2,D,,
1818422677547913225,1818422677535330304,bfa1a081-6b01-4505-9220-1640ee938671,,Total,D,,
1818422697139507200,1818422697118535680,f2e7edbc-11cc-449f-998d-a129d6546f06,,CO2,A1-A3,,
1818422697139507201,1818422697118535680,f2e7edbc-11cc-449f-998d-a129d6546f06,,Total,A1-A3,,
1818422697139507202,1818422697118535680,f2e7edbc-11cc-449f-998d-a129d6546f06,,CO2,A4-A5,,
1818422697139507203,1818422697118535680,f2e7edbc-11cc-449f-998d-a129d6546f06,,Total,A4-A5,,
1818422697139507204,1818422697118535680,f2e7edbc-11cc-449f-998d-a129d6546f06,,CO2,B1-B7,,
1818422697139507205,1818422697118535680,f2e7edbc-11cc-449f-998d-a129d6546f06,,Total,B1-B7,,
1818422697139507206,1818422697118535680,f2e7edbc-11cc-449f-998d-a129d6546f06,,CO2,C1-C4,,
1818422697139507207,1818422697118535680,f2e7edbc-11cc-449f-998d-a129d6546f06,,Total,C1-C4,,
1818422697139507208,1818422697118535680,f2e7edbc-11cc-449f-998d-a129d6546f06,,CO2,D,,
1818422697139507209,1818422697118535680,f2e7edbc-11cc-449f-998d-a129d6546f06,,Total,D,,
1818422745109762048,1818422745080401920,b37b9cfe-b1f4-489a-a31a-1b2d0e29c4ef,,CO2,A1-A3,,
1818422745109762049,1818422745080401920,b37b9cfe-b1f4-489a-a31a-1b2d0e29c4ef,,Total,A1-A3,,
1818422745109762050,1818422745080401920,b37b9cfe-b1f4-489a-a31a-1b2d0e29c4ef,,CO2,A4-A5,,
1818422745109762051,1818422745080401920,b37b9cfe-b1f4-489a-a31a-1b2d0e29c4ef,,Total,A4-A5,,
1818422745109762052,1818422745080401920,b37b9cfe-b1f4-489a-a31a-1b2d0e29c4ef,,CO2,B1-B7,,
1818422745109762053,1818422745080401920,b37b9cfe-b1f4-489a-a31a-1b2d0e29c4ef,,Total,B1-B7,,
