id,property_name,property_symbol,property_unit,description,data_entry_by
1818439048646369280,,PPS_Weight,kg,,吴宇森
1818439048646369281,,Brass_Weight,kg,,吴宇森
1818439048646369282,,PA6_6_reinforced_with_glass_fiber_Weight,kg,,吴宇森
1818439048646369283,,EPDM_Weight,kg,,吴宇森
1818439048646369284,,TOTAL_Product_Weight,kg,,吴宇森
1818439048646369285,,LDPE_Weight,kg,,吴宇森
1818439048646369286,,Corrugated_board_Weight,kg,,吴宇森
1818439048646369288,,Biogenic_carbon_weight_%_versus_product,%,,吴宇森
1818439048646369289,,Biogenic_carbon_weight_kg,kg,,吴宇森
1818439397591490560,,Thickness,mm,,吴宇森
1818439397591490561,,Glass wool,kg/m2,,吴宇森
1818439397591490562,,Weight,kg/m2,,吴宇森
1818439397591490564,,Plastic Packaging,kg/m2,,吴宇森
1818439397591490565,,Wood Pallet,kg/m2,,吴宇森
1818439397591490566,,Weight-% (versus the product),%,,吴宇森
1818439535932219393,,%Weight_Conventional_bitumen,%,,吴宇森
1818439535932219396,,"Post-consumer_material,weight-%_Others",%,,吴宇森
1818439976317362176,,Aggregates,%Weight,,吴宇森
1818439976317362177,,Modified bitumen,%Weight,,吴宇森
1818439976317362178,,"Others (sand, cellulose fibers, additives, etc.)",%Weight,,吴宇森
1818439976317362179,,Weight,%Weight,,吴宇森
1818440517680373760,,Steel_wire_Weight,kg,,吴宇森
1818441105218478080,,Steel,kg,,吴宇森
1818441105218478081,,isocyanates,kg,,吴宇森
1818441105218478082,,Chemical components,kg,,吴宇森
1818441105218478083,,Others non chemical,kg,,吴宇森
1818441105218478085,,PE,kg,,吴宇森
1818441105218478086,,EPS,kg,,吴宇森
1818441105218478087,,madera,kg,,吴宇森
1818441105218478088,,TOTAL Packaging,kg,,吴宇森
1818444808713412608,,Acrylicacid,kg,,吴宇森
1818444808713412609,,Acrylonitrile-butadiene-styrenecopolymer,kg,,吴宇森
1818444808713412610,,"Alkydpaint,white,withoutwater,in60%solutionstate",kg,,吴宇森
1818444808713412611,,Alkydresin,kg,,吴宇森
1818444808713412612,,"Aluminiumalloy,AlMg3",kg,,吴宇森
1818444808713412613,,"Aluminiumalloy,metalmatrixcomposite",kg,,吴宇森
1818444808713412614,,"Aluminium,castalloy",kg,,吴宇森
1818444808713412615,,"Aluminium,primary,ingot",kg,,吴宇森
1818444808713412616,,"Aluminium,wroughtalloy",kg,,吴宇森
1818444808713412617,,"Argon,liquid",kg,,吴宇森
1818444808713412618,,Bariumsulfide,kg,,吴宇森
1818444808713412619,,"Battery,Li-ion,rechargeable,prismatic",kg,,吴宇森
1818444808713412620,,Benzoicacid,kg,,吴宇森
1818444808713412621,,Benzylalcohol,kg,,吴宇森
1818444808713412622,,BisphenolAepoxybasedvinylesterresin,kg,,吴宇森
1818444808713412623,,"Calciumcarbonate,precipitated",kg,,吴宇森
1818444808713412624,,Carbonblack,kg,,吴宇森
1818444808713412625,,"Carbondioxide,liquid",kg,,吴宇森
1818444808713412626,,Castiron,kg,,吴宇森
1818444808713412627,,Ceramictile,kg,,吴宇森
1818444808713412628,,Chromiumsteelpipe,kg,,吴宇森
1818444808713412629,,Copper-richmaterials,kg,,吴宇森
1818444808713412630,,Dicyclopentadienebasedunsaturatedpolyesterresin,kg,,吴宇森
1818444808713412631,,Diesel,kg,,吴宇森
1818444808713412632,,"Epoxyresininsulator,Al2O3",kg,,吴宇森
1818444808713412633,,"Epoxyresin,liquid",kg,,吴宇森
1818444808713412634,,Fattyacid,kg,,吴宇森
1818444808713412635,,"Ferrochromium,highcarbon,55%Cr",kg,,吴宇森
1818444808713412636,,"Flatglass,coated",kg,,吴宇森
1818444808713412637,,Glassfibre,kg,,吴宇森
1818444808713412638,,Glassfibrereinforcedplastic,kg,,吴宇森
1818444808713412639,,Graphite,kg,,吴宇森
1818444808713412640,,"Gypsum,mineral",kg,,吴宇森
1818444808713412641,,Limestone,kg,,吴宇森
1818444808713412642,,Lithiumhexafluorophosphate,kg,,吴宇森
1818444808713412643,,Lubricatingoil,kg,,吴宇森
1818444808713412644,,Maleicunsaturatedpolyesterresin,kg,,吴宇森
1818444808713412645,,Nylon6,kg,,吴宇森
1818444808713412646,,Nylon6-6,kg,,吴宇森
1818444808713412647,,"Oxygen,liquid",kg,,吴宇森
1818444808713412648,,Polycarbonate,kg,,吴宇森
1818444808713412649,,"Polyesterresin,unsaturated",kg,,吴宇森
1818444808713412650,,"Polyethyleneterephthalate,granulate,amorphous",kg,,吴宇森
1818444808713412651,,"Polyethyleneterephthalate,granulate,bottlegrade",kg,,吴宇森
1818444808713412652,,"Polyethylene,highdensity,granulate",kg,,吴宇森
1818444808713412653,,"Polyethylene,lowdensity,granulate",kg,,吴宇森
1818444808713412654,,Polyphenylenesulfide,kg,,吴宇森
1818444808713412655,,"Polypropylene,granulate",kg,,吴宇森
1818444808713412656,,"Polyurethane,flexiblefoam",kg,,吴宇森
1818444808713412657,,"Polyurethane,rigidfoam",kg,,吴宇森
1818444808713412658,,"Polyvinylchloride,bulkpolymerised",kg,,吴宇森
1818444808713412659,,Rareearthoxideconcentrate,kg,,吴宇森
1818444808713412660,,"Rutile,95%titaniumdioxide",kg,,吴宇森
1818444808713412661,,Siliconeproduct,kg,,吴宇森
1818444808713412662,,"Steel,chromiumsteel18/8",kg,,吴宇森
1818444808713412663,,"Steel,low-alloyed",kg,,吴宇森
1818444808713412664,,"Steel,low-alloyed,hotrolled",kg,,吴宇森
1818444808713412665,,"Steel,unalloyed",kg,,吴宇森
1818444808713412666,,Styrene,kg,,吴宇森
1818444808713412667,,Sulfuricacid,kg,,吴宇森
1818444808713412668,,Syntheticrubber,kg,,吴宇森
1818444808713412669,,"Textile,non-wovenpolyester",kg,,吴宇森
1818444808713412670,,Zinc,kg,,吴宇森
1818846141178191872,,RE-PET,%,,吴宇森
1818846141178191873,,Co-polyester B,%,,吴宇森
1818846141178191874,,Cp-polyester A,%,,吴宇森
1818846141178191875,,Others,%,,吴宇森
1818846335827451904,,PA6chip,kg,,吴宇森
1818846335827451905,,Masterbatch,kg,,吴宇森
1819108565189926914,,Plastic film,kg,,吴宇森
1819109424879640576,,ReviWool®,kg,,吴宇森
1819109424879640577,,Polyamide,kg,,吴宇森
1819109542513090561,,Plastic_film,kg,,吴宇森
1819109542513090563,,Weight,kg/kg,,吴宇森
1819109856775512064,,Wool®,kg,,吴宇森
1819110020030406659,,TOTAL_Packaging_Materials,kg/kg,,吴宇森
1819110020030406660,,TOTAL_weight_per_m2,kg/m2,,吴宇森
