id,factor_id,property_name,property_value,unit,description,data_entry_by,formula
1818428660856922113,1818428660831621120,Renewable material,0.0,weight-%,,吴宇森,
1818428786153365504,1818428786123870208,Additives,2.8,%,,吴宇森,
1818428786153365505,1818428786123870208,Solvents,41.31,%,,吴宇森,
1818428786153365506,1818428786123870208,Pigments/colorants,5.86,%,,吴宇森,
1818428786153365507,1818428786123870208,Resins,50.01,%,,吴宇森,
1818428786153365508,1818428786123870208,Weight,100.0,%,,吴宇森,
1818431861698076672,1818431861660192768,Additives,7.72,%,,吴宇森,
1818431861698076673,1818431861660192768,Extenders,0.6,%,,吴宇森,
1818431861698076674,1818431861660192768,Solvents,27.98,%,,吴宇森,
1818431861698076675,1818431861660192768,Resins,63.49,%,,吴宇森,
1818431861698076676,1818431861660192768,Weight,100.0,%,,吴宇森,
1818433200717045760,1818433200670773248,Aluminium_supplier_1_Weight,37.3,%,,吴宇森,
1818433200717045761,1818433200670773248,Aluminium_supplier_1_Weight_Versus_Total,53.6,%,,吴宇森,
1818433200717045762,1818433200670773248,Aluminium_supplier_2_Weight,28.4,%,,吴宇森,
1818433200717045763,1818433200670773248,Aluminium_supplier_2_Weight_Versus_Total,21.2,%,,吴宇森,
1818433200717045764,1818433200670773248,Paint_Weight,0.75,%,,吴宇森,
1818433200717045765,1818433200670773248,Polyoxymethylene_POM_Weight,33.3,%,,吴宇森,
1818433200717045766,1818433200670773248,Steel_Weight,0.33,%,,吴宇森,
1818433200717045767,1818433200670773248,TOTAL_Weight,100.0,%,,吴宇森,
1818433200717045768,1818433200670773248,TOTAL_Weight_Versus_Product,25.9,%,,吴宇森,
1818433200717045769,1818433200670773248,Polyethylene_Weight,0.0008,kg,,吴宇森,
1818433200717045770,1818433200670773248,Polyethylene_Weight_Versus_Product,0.14,%,,吴宇森,
1818433200717045771,1818433200670773248,Wood_Weight,0.0028,kg,,吴宇森,
1818433200717045772,1818433200670773248,Wood_Weight_Versus_Product,0.48,%,,吴宇森,
1818433200717045773,1818433200670773248,Cardboard_box_Weight,0.0001,kg,,吴宇森,
1818433200717045774,1818433200670773248,Cardboard_box_Weight_Versus_Product,0.02,%,,吴宇森,
1818433200717045775,1818433200670773248,TOTAL_Packaging_Materials_Weight,0.0037,kg,,吴宇森,
1818433200717045776,1818433200670773248,TOTAL_Packaging_Materials_Weight_Versus_Product,0.64,%,,吴宇森,
1818433461749555200,1818433461711671296,Additives,9.0,%,,吴宇森,
1818433461749555201,1818433461711671296,Extenders,7.0,%,,吴宇森,
1818433461749555202,1818433461711671296,Solvents,20.0,%,,吴宇森,
1818433461749555203,1818433461711671296,Resins,10.0,%,,吴宇森,
1818433461749555204,1818433461711671296,Pigments/Colorant,54.0,%,,吴宇森,
