id,factor_id,uuid,value,ghg_type,boundary,formula,description
1830471765294452738,1830471765273481216,fe4c6b86-2bc7-43f6-8816-c800198f9761,1.846,CO2,A4-A5,,
1830471765294452739,1830471765273481216,fe4c6b86-2bc7-43f6-8816-c800198f9761,1.846,Total,A4-A5,,
1830471765294452740,1830471765273481216,fe4c6b86-2bc7-43f6-8816-c800198f9761,0.0919,CO2,B1-B7,,
1830471765294452741,1830471765273481216,fe4c6b86-2bc7-43f6-8816-c800198f9761,0.0919,Total,B1-B7,,
1830471784869269504,1830471784856686592,5edeea33-1ffd-4a40-aad7-1723d6709c98,,CO2,A1-A3,,
1830471784869269505,1830471784856686592,5edeea33-1ffd-4a40-aad7-1723d6709c98,,Total,A1-A3,,
1830471784869269506,1830471784856686592,5edeea33-1ffd-4a40-aad7-1723d6709c98,,CO2,A4-A5,,
1830471784869269507,1830471784856686592,5edeea33-1ffd-4a40-aad7-1723d6709c98,,Total,A4-A5,,
1830471784869269508,1830471784856686592,5edeea33-1ffd-4a40-aad7-1723d6709c98,,CO2,B1-B7,,
1830471784869269509,1830471784856686592,5edeea33-1ffd-4a40-aad7-1723d6709c98,,Total,B1-B7,,
1830471784869269510,1830471784856686592,5edeea33-1ffd-4a40-aad7-1723d6709c98,,CO2,C1-C4,,
1830471784869269511,1830471784856686592,5edeea33-1ffd-4a40-aad7-1723d6709c98,,Total,C1-C4,,
1830471784869269512,1830471784856686592,5edeea33-1ffd-4a40-aad7-1723d6709c98,,CO2,D,,
1830471784869269513,1830471784856686592,5edeea33-1ffd-4a40-aad7-1723d6709c98,,Total,D,,
1830471958408597504,1830471958396014592,7229a022-c53a-4c80-ad95-19b8778338c8,,CO2,A1-A3,,
1830471958408597505,1830471958396014592,7229a022-c53a-4c80-ad95-19b8778338c8,,Total,A1-A3,,
1830471958408597506,1830471958396014592,7229a022-c53a-4c80-ad95-19b8778338c8,,CO2,A4-A5,,
1830471958408597507,1830471958396014592,7229a022-c53a-4c80-ad95-19b8778338c8,,Total,A4-A5,,
1830471958408597508,1830471958396014592,7229a022-c53a-4c80-ad95-19b8778338c8,,CO2,B1-B7,,
1830471958408597509,1830471958396014592,7229a022-c53a-4c80-ad95-19b8778338c8,,Total,B1-B7,,
1830471958408597510,1830471958396014592,7229a022-c53a-4c80-ad95-19b8778338c8,,CO2,C1-C4,,
1830471958408597511,1830471958396014592,7229a022-c53a-4c80-ad95-19b8778338c8,,Total,C1-C4,,
1830471958408597512,1830471958396014592,7229a022-c53a-4c80-ad95-19b8778338c8,,CO2,D,,
1830471958408597513,1830471958396014592,7229a022-c53a-4c80-ad95-19b8778338c8,,Total,D,,
1830472062049849344,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,13.9,CO2,A1-A3,,
1830472062049849345,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,13.9,Total,A1-A3,,
1830472062049849346,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,6.7299999999999995,CO2,A4-A5,,
1830472062049849347,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,6.7299999999999995,Total,A4-A5,,
1830472062049849348,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,0.518,CO2,B1-B7,,
1830472062049849349,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,0.518,Total,B1-B7,,
1830472062049849350,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,0.8220000000000001,CO2,C1-C4,,
1830472062049849351,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,0.8220000000000001,Total,C1-C4,,
1830472062049849352,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,-0.899,CO2,D,,
1830472062049849353,1830472062033072128,0b763623-cd1c-4ea4-a382-e3ea232e2ab9,-0.899,Total,D,,
